S_I,S_S,X_I,X_S,X_H,X_A,X_STO,S_O2,S_NOX,S_NH4,S_N2,S_ALK,X_SS,Q,EQIvecinst,SSe,CODe,SNKJe,SNOe,BOD5e,mR,tagS,tagF,series_diff,tagR
20.9399935910789,0.199547710103741,4.7644705402772,0.772744276815572,6.77914694090352,0.292693727463623,1.70963365054758,2.60714518549406,3.22840683751211,14.2273202039323,8.24405038917694,6.19934409328747,11.5564367152001,15858.1341470393,9037061.232248925,11.5564367152001,35.45823043719014,15.816278043295515,3.22840683751211,2.2628120900802147,9037061.232248925,0,0,0.02332094859828542,0
20.9866325716134,0.199216512720715,4.67847190561215,0.759518325964039,6.69381628343943,0.289139962628262,1.68473507229017,2.57586972768499,3.26435281865757,14.1215393140381,8.26853666635047,6.1924279421013,11.4055396096598,15661.711524111,8865818.77893332,11.4055396096598,35.291530634268156,15.695657553493717,3.26435281865757,2.233252712893497,8951440.005591122,0,0,0.022864737308337615,0
21.0417482884531,0.198832730199291,4.6021746542632,0.747977637951108,6.62326801969998,0.286218025106941,1.66355625182279,2.54305951287866,3.30332878627568,14.0121996668106,8.30256363135489,6.18453572413447,11.2798715567523,15560.8255005066,8751214.154962821,11.2798715567523,35.16377560749641,15.573790490842772,3.30332878627568,2.2085023202624336,8884698.055381687,0,0,0.022565724714395358,0
21.1049631046755,0.19839965136457,4.54596718211309,0.73825788378409,6.56819696456579,0.283957062602862,1.64629449883095,2.50914405558078,3.34519585119035,13.8987664470694,8.34574309799227,6.17569511981235,11.1806757009894,15487.8009279114,8654540.273374105,11.1806757009894,35.08603634793685,15.450675656198847,3.34519585119035,2.188807544767074,8827158.609879792,0,0,0.0223205978717211,0
21.1755055642646,0.197914347186646,4.5059050028232,0.729551731221944,6.52210880317749,0.282078058025986,1.63125263423987,2.47458609477403,3.38949882265196,13.7815973451296,8.39724803759061,6.16600703323382,11.0967850374638,15244.5365512709,8464494.961733602,11.0967850374638,35.04431614093974,15.325695425825984,3.38949882265196,2.172017603554117,8754625.880250555,0,0,0.021843395964870956,0
21.2515023203428,0.197364846484253,4.46823646254429,0.719863441409131,6.46939846462529,0.279911613601987,1.61434129347458,2.43992500285954,3.4351381659587,13.6627220785051,8.45519514655615,6.15573204715858,11.0013160436633,14624.9418179364,8067263.410498954,11.0013160436633,35.000618442482335,15.198314101597331,3.4351381659587,2.1529468874647733,8640065.468625287,0,0,0.02084457671988379,0
21.3308388526671,0.196741096804262,4.4214482589079,0.707673442469123,6.39835529315139,0.276956336096377,1.59248666184471,2.40566776732294,3.48095371314632,13.5442777049285,8.51730859021392,6.14516582734875,10.8740725703631,13900.1412758216,7614458.7737607965,10.8740725703631,34.92449994194086,15.068654837315604,3.48095371314632,2.127697241769616,8493550.226501789,0,0,0.019715894075623696,0
21.4123081778356,0.196041963766886,4.36360610793278,0.693050411900389,6.30968592890443,0.273244060472343,1.56586802852217,2.3721723527211,3.52635017723934,13.4269817101566,8.58200372843944,6.13448232432943,10.7162489208723,13199.1375008259,7178014.600756173,10.7162489208723,34.8138046793346,14.937390709688435,3.52635017723934,2.0964966380335754,8329108.273283587,0,0,0.018638800131686842,0
21.4952011950421,0.195269632171991,4.29750156632907,0.676739611484688,6.20927211123992,0.269028469923051,1.53602621303262,2.33966910540869,3.57103625246355,13.3109009267323,8.64821092087674,6.12378280837471,10.5379701728922,12548.1217017584,6772852.061931547,10.5379701728922,34.67903879922344,14.805411074028015,3.57103625246355,2.0612974735791556,8156190.916466693,0,0,0.017646943920761674,0
21.5789919583168,0.194427243331379,4.22698076040144,0.659552008443745,6.10341372254047,0.264580794953605,1.50461671081067,2.3082896209342,3.61485398999955,13.1958941341644,8.71515908762314,6.11313341194956,10.3500950529913,11950.7695481669,6401249.689550098,10.3500950529913,34.53256319879811,14.6735084209709,3.61485398999955,2.0241953954538725,7980696.793775034,0,0,0.016742441856625788,0
