S_I,S_S,X_I,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,TSS,Q,EQIvecinst,mR,tagS,tagF,series_diff,tagR
0.0415558430205275,29.5765622559966,0.568717861194695,4.94584279904546,25.2476797864882,6.03210282305098,4.70837150495754,1429.724492922,187.013384613729,1554.13776584817,250.241505613221,103.873934557096,2860.58358350178,85288.8668610231,18.9563210624897,4358.441122954003,4358.441122954003,0,0,9.352310960674732e-07,0
0.0440165795438427,29.6067579569549,0.545484523433364,4.71918399332508,25.4801065534554,6.03390486978032,4.69427570844112,1421.31431870398,185.484297320249,1555.93943894499,249.130074497021,104.006625409541,2861.76592983759,85132.6885253649,18.9588739745033,4353.286306203623,4355.8637145788125,0,0,9.326870800500456e-07,0
0.0462812189135238,29.6460084556684,0.525372773764332,4.53063143509345,25.6432893387043,6.0006564741974,4.68927905340981,1416.89012017634,183.651128304033,1553.88486662071,247.393970619104,103.869592238635,2855.98035849367,85174.0358069279,18.9614738589693,4352.868038609702,4354.865155922443,0,0,9.278945209038375e-07,0
0.048302798269877,29.6935582028257,0.505826285723943,4.35822970167989,25.7612396931029,5.94204228139422,4.69055165621767,1415.02270791974,181.63563923056,1550.29966942588,245.38762514342,103.62128181905,2847.36528613886,85275.3550270961,18.9641184994527,4353.609152769691,4354.551155134255,0,0,9.223049719343908e-07,0
0.0500760883814975,29.7478625650272,0.486347049097097,4.18532205846974,25.8648542137841,5.86874191415173,4.69475827147136,1414.45321051361,179.606733488127,1547.49940516085,243.472713638993,103.419787551701,2840.08664342262,85313.7405364628,18.9668058015806,4352.49418451753,4354.13976101091,0,0,9.172819121543398e-07,0
0.0516306427044002,29.8083690519392,0.468063113125131,3.99446970202505,25.9865568528616,5.79016739572732,4.69870123481171,1415.67683444684,177.730294082956,1547.31360009612,241.947189889978,103.390872669408,2837.4683004172,85166.4411222439,18.9695335939582,4346.180086169845,4352.813148537399,0,0,9.138024006939122e-07,0
0.0530335424543232,29.8751416815911,0.452627470529632,3.78371788722457,26.1352276874712,5.70929483771766,4.70148085055956,1418.47873509645,176.050402645015,1549.64249243776,240.811927585865,103.52916424933,2839.38260542753,84950.0535899173,18.9723028309396,4339.038724073346,4350.845373613963,0,0,9.119221367454611e-07,0
0.0544032975598058,29.9478512440481,0.439790001974445,3.56533539525008,26.2960772167985,5.624246042913,4.70424415632443,1421.36023299999,174.446460371207,1552.58710694982,239.781481985371,103.706766570622,2842.43643197228,84736.0333999923,18.9751142045856,4332.442067604532,4348.544960362784,0,0,9.103060989341248e-07,0
0.055830954862315,30.0224260150257,0.428486767887427,3.35096842319886,26.4501270830915,5.53304082294815,4.7083756538988,1423.19953463624,172.786957849764,1554.61461164617,238.616840452222,103.820206000665,2843.86936779392,84582.7264216683,18.9779683704005,4327.511476858555,4346.207906640092,0,0,9.082512550051069e-07,0
0.0573626215675179,30.0865031779862,0.41683310214741,3.1490729412361,26.5791051258102,5.43287526361587,4.71530677206388,1423.57213245504,170.966179840072,1555.01247030045,237.197846018925,103.82163434786,2842.39026550209,84550.6148751791,18.9808661635417,4326.020787824048,4344.189194758487,0,0,9.053297982877485e-07,0
0.0589958179842411,30.1305670128106,0.403957179760803,2.96044779181802,26.6779173637883,5.32273861609199,4.72544642781552,1422.74440312809,168.942228300897,1553.94584854549,235.53886150978,103.722465468836,2838.27384594221,84579.5121240596,18.983806428303,4325.786026385903,4342.516179451889,0,0,9.016502457444494e-07,0
0.060692175891357,30.1560316044694,0.390341309609877,2.78135333053291,26.7548446511744,5.20320191339861,4.73822593118165,1421.42854611835,166.766958082264,1552.18740116319,233.755601507863,103.574553677295,2832.89512071701,84629.1236221799,18.9867880848738,4325.823225807058,4341.1250999814865,0,0,8.976622045025215e-07,0
0.0624208718414212,30.1707033646978,0.376174445946379,2.60987255003152,26.82161164228,5.07545874718472,4.75280313276894,1420.38333219722,164.531400811396,1550.62530827184,231.984744893429,103.436861005413,2827.83982443812,84655.1227142731,18.9898099717314,4325.084599236993,4339.891215308833,0,0,8.938559642052678e-07,0
0.0641642386062182,30.1856509200091,0.361187394123609,2.44820275398632,26.8912704369356,4.94175636419852,4.76810786439877,1420.20485955175,162.304728698236,1550.00632151563,230.334974320843,103.357985060154,2824.40640682391,84608.0703290599,18.9928707983639,4322.2214042919895,4338.629085950487,0,0,8.907417896676361e-07,0
0.0658881335526742,30.2078241422812,0.34631432540999,2.30058353280715,26.9678489626284,4.80323539593259,4.78374901165914,1420.86916486824,160.1066250192,1550.36290893372,228.809347950804,103.339092713395,2822.63443343487,84531.7466831835,18.9959708226297,4318.921591244904,4337.315252970115,0,0,8.880790824755058e-07,0
0.0675857722137849,30.2364800462,0.332163445485236,2.16860348800829,27.0461453683559,4.6596464167735,4.80006878954977,1421.78533834638,157.908194474795,1551.04174934766,227.31683707196,103.336860341137,2821.37855427039,84454.0494662887,18.9991101788248,4315.79031456717,4335.969944319931,0,0,8.855576354771347e-07,0
0.06919019282067,30.2658989750427,0.320532507174036,2.05790970811251,27.1163133951959,4.51009002971415,4.81777872553297,1422.19819528787,155.67501412879,1551.18533437806,225.746240279448,103.295152981091,2819.1534854743,84429.2122125824,19.0022895199938,4314.297561801965,4334.695098289462,0,0,8.828576878001877e-07,0
0.0704589083998741,30.2858349167888,0.314751082305887,1.98926669118192,27.1644180036267,4.35166765647097,4.83812889681279,1421.43445098133,153.413183428508,1550.03214410664,224.020585765753,103.164740500569,2814.67753751299,84527.4179337799,19.0055098828677,4316.606862780061,4333.690196316717,0,0,8.795238977559438e-07,0
0.0712666805350216,30.2890404972074,0.313558340110945,1.97487445540183,27.1875735336924,4.18397838205314,4.86135742724216,1419.42663596055,151.142366008981,1547.50246899444,222.153976635929,102.941889778308,2807.84695649296,84680.7154806813,19.0087697016942,4320.100673744598,4332.974958286606,0,0,8.755123096606622e-07,0
0.0716383505414212,30.2762951204523,0.314863618116199,2.00527686734842,27.1946686728133,4.01062797369484,4.88640965979598,1417.00756846245,148.907501160595,1544.51158461827,220.271519063238,102.688492320123,2800.28045085205,84842.706573331,19.0120676038314,4323.6524341367185,4332.508832079112,0,0,8.713460380975448e-07,0
0.0716953640304817,30.2516271356868,0.316796761951889,2.06078932209013,27.2034299830168,3.83760265901848,4.91137424560393,1415.29132055532,146.745802464184,1542.2833975258,218.527039227649,102.48668741948,2794.11757215056,84906.5914315323,19.0154012194885,4324.040284134981,4332.105567891296,0,0,8.677584318141272e-07,0
0.0715523625835795,30.2179849794494,0.318324201758743,2.11974726173213,27.2428817594966,3.67275546636611,4.93344779039095,1415.76940643507,144.702040396867,1542.44877500924,217.130869896705,102.445899034355,2792.21459795511,84739.609389574,19.0187675751158,4317.334572094673,4331.434158991449,0,0,8.654513843832501e-07,0
0.0712610507236886,30.1773679431643,0.320206251111834,2.17358869287871,27.3216528688764,3.51986543893388,4.95159625035666,1418.53867345473,142.766499309963,1545.10665965739,216.086997907653,102.573081436726,2794.73518668177,84474.9292287778,19.0221682126471,4308.659428628383,4330.44395332349,0,0,8.645048162288004e-07,0
0.0709289420338159,30.1311343102135,0.322791132984377,2.22585956331342,27.4230082202156,3.37979143001426,4.96666972470446,1421.61513110645,140.81470257309,1548.08598957303,215.094027711796,102.723968307775,2797.81755251569,84197.2045737737,19.0256042859689,4299.717270925272,4329.163674890231,0,0,8.638342641504277e-07,0
0.0703645955748271,30.0837294007638,0.332519074406141,2.29919277919998,27.5090815125662,3.2481314433043,4.98151548099515,1422.97303679421,138.768573983785,1549.17465764113,213.880359116243,102.751334551561,2797.58138979254,84153.0304257321,19.0290807682594,4298.376489566876,4327.932187477297,0,0,8.621889815175473e-07,0
0.069060690528529,30.0494412573992,0.364054063149809,2.45190801437618,27.5123283095945,3.110625386919,5.00217490079437,1419.31866759316,136.48173278104,1544.79078671375,212.069319407756,102.416620304377,2787.75617973448,84695.2147712781,19.032605102511,4315.648255494052,4327.459728554864,0,0,8.575845517441849e-07,0
0.0671615943623202,30.0408104393529,0.414872372345205,2.71262956883866,27.4115024846097,2.96036683857251,5.03093847267505,1410.02975312492,133.898196732736,1534.2880721853,209.667464976166,101.677827462612,2767.21307383774,85521.5257600091,19.0361694420768,4339.635086974602,4327.910667755596,0,0,8.497128079460618e-07,0
0.0649649846252869,30.0574838395724,0.478316284778672,3.05320289584907,27.2451149613656,2.80434242922263,5.06452200035837,1398.78195112135,131.2180129834,1521.69769005223,207.198077306704,100.804440837194,2743.0727683223,86405.3977896972,19.0397676785982,4364.506261970426,4329.2176532632675,0,0,8.409293887455261e-07,0
0.0619279782712188,30.0842003915164,0.581442757087475,3.51754463025977,27.0319384026691,2.6418341313435,5.10198880366008,1387.10830634891,128.62100361324,1508.64844362926,204.927843430701,99.9047862899016,2718.35505460373,87520.6452039396,19.0434013585753,4398.066007194753,4331.591734433319,0,0,8.3203312738141e-07,0
0.0568556768101852,30.0872098096271,0.818190131737123,4.35511875994254,26.7476159395865,2.44854150395898,5.14871582121346,1373.16643923772,126.271089253983,1492.98235076953,202.916527154699,98.8333201802742,2689.74770236089,89207.3887262491,19.0470728619992,4452.040190489199,4335.606682968515,0,0,8.218192764359082e-07,0
