S_I,S_S,X_I,X_S,X_H,X_A,X_STO,S_O2,S_NOX,S_NH4,S_N2,S_ALK,X_SS,Q,EQIvecinst,mR,tagS,tagF,series_diff,tagR
30.9620755434727,0.191976392507751,4.51921874216823,0.625053436848743,6.31271636623397,0.311961648949547,1.50190476846044,0.782340838473052,5.391825375503,11.6354776464407,15.775010015307,5.45269884317246,10.7309714820055,12079.9238004934,6345392.366938612,6345392.366938612,0,0,0.02355070916962202,0
31.0187287597103,0.187322810530013,4.44162325548768,0.611735874849584,6.22166263180427,0.307646230236144,1.46975283963803,0.775551476645837,5.40988184193288,11.5770217256112,15.7655638612856,5.44927009379239,10.5662943108335,11998.3208022268,6271696.111315164,6308544.239126888,0,0,0.0231474904509453,0
31.0754178862512,0.183655584568224,4.37715967033935,0.60098788739247,6.15380147768411,0.30446569955346,1.44406114581596,0.767749376332182,5.43061479756562,11.5093382406152,15.7614738473424,5.44513320096173,10.441858415094,12046.0549222494,6265535.847821163,6294208.108691647,0,0,0.022997127866232578,0
31.1323950450694,0.180727169371811,4.33004838019611,0.592671108556541,6.10735961363755,0.302332407845717,1.42426347495286,0.7590914062784,5.4544669669454,11.4312380661402,15.7635778988928,5.44016210893402,10.3545963641095,12139.9263918254,6282409.451677115,6291258.444438013,0,0,0.022932198596236176,0
31.1892832622298,0.178366757092324,4.29827923204474,0.586134923388638,6.07639476616034,0.300953272300192,1.40882094785409,0.749554225667973,5.48166824703689,11.3422490705682,15.7728172748657,5.43426968158659,10.2942713529574,12110.516427197,6233875.935060579,6279781.942562526,0,0,0.02263365517943354,0
31.2448330674568,0.176445068232792,4.27322659979294,0.579959812962677,6.04868332747992,0.299726019803736,1.39469837817981,0.738934125772472,5.51190281307882,11.2436885132206,15.789729543546,5.42749310812401,10.2398295249497,11762.1923895472,6019707.437185922,6236436.191666425,0,0,0.021751278099382015,0
31.29787544778,0.174847627230866,4.24635805544357,0.572895652724372,6.01374311325102,0.298134783706456,1.37927981850252,0.727155061119841,5.54455052200103,11.1377548548886,15.8141733609458,5.41995373123632,10.1731783055366,11311.8783986106,5752653.704290222,6167324.40775554,0,0,0.020704175459562428,0
31.3481011918717,0.173477372923681,4.21480822748854,0.564652119179695,5.96938165217906,0.296072559163572,1.3619465341574,0.714423914343971,5.57920095867256,11.0257949556557,15.8457616721661,5.41173764523235,10.0904638766213,10881.1339545149,5495552.454849631,6083352.913642301,0,0,0.019717805514827654,0
31.39601671378,0.172262629881447,4.18154298176554,0.555846656289879,5.92115912372992,0.293814519313061,1.34394789004968,0.701142641715056,5.61592175260804,10.9074792638694,15.8844685620993,5.40281990198607,10.0011583710585,10692.169102554,5360429.563720091,6003028.096984278,0,0,0.019186257993728473,0
31.4432289679519,0.17115868992875,4.15623410874679,0.548128619605024,5.88344426462872,0.292069915362236,1.32864037379987,0.687949630192285,5.65582263492227,10.7790003910417,15.93169306879,5.3929077058998,9.92986566576383,11034.4408452172,5489233.089473154,5951648.596233165,0,0,0.01960327854554523,0
31.4912502619488,0.170142045160419,4.14807979271526,0.543044076009198,5.86951098229154,0.291493610481527,1.31912376083811,0.675450777544495,5.70043195494413,10.6351531384665,15.9899554632519,5.38157666646274,9.89933580452697,11628.526989935,5737748.712880863,5932203.152292047,0,0,0.020440519167670607,0
31.5404437272918,0.169196290127279,4.16024130523446,0.541157673747215,5.88400302613716,0.292314674208522,1.31644948095855,0.664016463244853,5.75065929010796,10.4726777842895,16.0614663804772,5.36853619826738,9.91753239636871,12279.8595962961,6006963.5580342505,5938433.186103898,0,0,0.02133981146395174,0
31.5901410952541,0.168303056669723,4.18940681446349,0.541990839266851,5.92243928656347,0.294312124364076,1.31951415575018,0.653805268809432,5.80643774525425,10.2913471475504,16.1471359646771,5.35374247829731,9.9767868131814,12697.5816190771,6154066.755425035,5955020.383743986,0,0,0.0217964133262189,0
31.6385811920531,0.167436563519296,4.22258872192694,0.543521975089588,5.96676987528495,0.296595802926263,1.32403461997645,0.6446361800709,5.86607620456441,10.0961173280554,16.2449451556782,5.33760162746591,10.0462053530926,12566.7561537339,6030010.900008897,5960376.849191478,0,0,0.021296961370644046,0
31.6842651206738,0.166570962075125,4.24582018188229,0.543553026208664,5.99751888586703,0.298205653454942,1.32541868045141,0.636251060332883,5.92742271855035,9.89343549957745,16.3513592106792,5.32068178367734,10.0924526339433,12220.5070778732,5800582.862564977,5949723.916749712,0,0,0.020441777245077602,0
31.7268480992468,0.165688623275829,4.25369849806377,0.541213830085611,6.00713086277312,0.298770221376692,1.32188648367421,0.628631215064999,5.98929014003906,9.68660572739686,16.4640000885405,5.30331242617644,10.1025793112956,11844.1179056043,5556505.1816139985,5925147.74580373,0,0,0.019552888833193796,0
31.7667018363025,0.164779130031825,4.2489343714717,0.53688984999303,5.99937728030276,0.298477383046546,1.3143005761082,0.621979234695049,6.05141772246622,9.47585346485283,16.5820771360645,5.28556967383758,10.0829850931747,11635.7060067703,5390946.401610969,5893724.137321803,0,0,0.018953020665547767,0
31.8048363455261,0.163837967533009,4.24138591422496,0.532060912034483,5.98802361649634,0.298008780074053,1.30581962440102,0.61683857763557,6.11472942910574,9.25720878403171,16.7072788813761,5.26717822098485,10.0571106606548,11816.8614816996,5402854.908433709,5866453.624605797,0,0,0.018980280742487834,0
31.8421157977761,0.162861437860174,4.2405506367851,0.528161681115507,5.98633384419923,0.298021171975647,1.29946171471736,0.613850749821819,6.18025448266698,9.02593808252335,16.8418892144542,5.24780749536193,10.0475354159916,12160.9167030325,5482837.892878758,5846263.322935953,0,0,0.019241072216745134,0
31.8787196395738,0.161845091112176,4.25006794190058,0.525755023376857,5.99937797371311,0.298765895038326,1.29635244817845,0.613420669322352,6.24802738012714,8.78038907562661,16.9863876430537,5.22740380890438,10.0628832470987,12524.8341424682,5564016.412817498,5832150.977430031,0,0,0.01949531040759397,0
31.9143365376158,0.160785983077645,4.2679438961872,0.524570241566838,6.02433808449044,0.300103562661704,1.29582714659599,0.615643078914669,6.31712275023235,8.52217354082541,17.139168432515,5.20620315888875,10.098368218665,12717.5646996978,5562290.347193281,5819300.47122828,0,0,0.01944718641831609,0
31.9482009912065,0.159683931715792,4.28531446464952,0.523324226791359,6.04876571650923,0.301417486045869,1.29507243411482,0.62009670731429,6.38552294672305,8.25727162192563,17.2958835097841,5.18479962039615,10.1328610044219,12536.3422795963,5394207.293182008,5799978.054044359,0,0,0.018811393624872677,0
31.979726258967,0.158541575793062,4.29322808356291,0.520711253356935,6.06008587901824,0.30208442920816,1.29128490888884,0.626188577272186,6.4513311481843,7.99201235711324,17.4519985493809,5.16378599407587,10.1450355286608,12206.9014105723,5163839.589502229,5772319.859933832,0,0,0.01795939992312713,0
32.0088698628715,0.157361747188366,4.2888673479969,0.516311682829143,6.05432480313934,0.301907219876459,1.2836109753098,0.63362492223024,6.51371690859575,7.72921581045162,17.6052377508149,5.14343944265831,10.1281683057218,11856.2073686184,4927780.339270522,5737130.713239527,0,0,0.01709055828984318,0
32.0360700958313,0.156144846784203,4.27686485569884,0.510771471776408,6.03796750335278,0.301207210850787,1.27351553267395,0.642662776267207,6.57298196012392,7.46709746679394,17.7561923058136,5.12366497020435,10.0932467790538,11778.1690630164,4806765.542052843,5699916.1063920595,0,0,0.016618796121356735,0
32.0623892882733,0.154885307449073,4.27143440789046,0.506086635260513,6.03096304672279,0.300973599891552,1.26538901302267,0.654693962698985,6.63093705302448,7.19606559322908,17.9099279375219,5.10381528704409,10.0739999584327,12354.4472209202,4946664.309933579,5670944.883451348,0,0,0.01703047075584359,0
32.0886392078028,0.153574054243134,4.2865036814992,0.504204192190661,6.05287471724408,0.302175998496444,1.26347098650889,0.671526403665984,6.68899620390794,6.90582896967623,18.0715843981014,5.08328662481733,10.1034503007939,13215.8297439201,5185790.308255371,5652976.195481127,0,0,0.017742628145720172,0
32.1147288821585,0.152205497456309,4.32765039056891,0.505891391463626,6.11154755282681,0.30520149516006,1.26939609660943,0.6943623017585,6.74668348984849,6.59287504632178,18.2421592309297,5.06205076643184,10.1947820664361,14123.2594624674,5424260.929700168,5644807.793131807,0,0,0.018393267762738474,0
32.140193344703,0.150776481022584,4.39707011369203,0.511426394285988,6.21008056235347,0.310200522742359,1.28374627806292,0.724363671981169,6.80274322316486,6.25584081418378,18.4213225395065,5.04028813531799,10.3531369312957,15148.5875248298,5686644.922998129,5646250.45278237,0,0,0.019047184538484276,0
32.1645079371527,0.149281575519486,4.49874149799818,0.521293433290609,6.35409011040958,0.317447614123781,1.30761810102512,0.763481161625323,6.85579518774083,5.89113161415143,18.6098732412369,5.01810723973783,10.5878482363754,16456.513300112,6028000.681213509,5658975.4603967415,0,0,0.01985726644440515,0
32.1867588099885,0.147715003049087,4.63679068064275,0.535955310134398,6.54941024691227,0.3272271389821,1.34212209353057,0.814174498017266,6.9035536209557,5.496190879562,18.8080649059675,4.99578447021013,10.9085592048673,17865.6061386128,6373402.598893574,5682021.497122445,0,0,0.020533686686196654,0
32.2054935304156,0.146076698546783,4.81005036614116,0.555142553973128,6.79442495465397,0.339453657421663,1.38677163882899,0.878711080359493,6.94239293697432,5.07325220363254,19.0140075546722,4.97395557131214,11.3123597574201,19275.253042086,6683258.3776381705,5713310.149638562,0,0,0.020917779377868772,0
32.2191295875195,0.144370253843641,5.01997305741292,0.578930634748967,7.09120465793139,0.354226253043113,1.44187927802758,0.96011415326069,6.96798633148606,4.62425751445824,19.2264727225839,4.95330741245655,11.8025459006822,21018.8966986472,7068334.84753297,5754371.504120211,0,0,0.02131377344390177,0
