S_I,S_S,X_I,X_S,X_H,X_A,X_STO,S_O2,S_NOX,S_NH4,S_N2,S_ALK,X_SS,Q,EQIvecinst,SSe,CODe,SNKJe,SNOe,BOD5e,mR,tagS,tagF,series_diff,tagR
22.7992563398512,0.240283895736076,1210.01398757764,233.427441335535,1697.41900791157,80.2127976147928,425.027235157463,3.57834941966399,1.94578687018468,12.413359308786,11.1032314551522,6.17861565967417,2939.45690070613,90455.6814101987,1752893633.3916464,2939.45690070613,3669.140009832588,289.363717437247,1.94578687018468,565.0285106650978,1752893633.3916464,0,0,0.31497125319664476,0
23.0135942405834,0.237216413344654,1212.64041837009,232.711796984834,1701.50717685805,80.4319570796337,425.117857028747,3.58082191573207,2.01468322931158,12.2031894857059,11.214896196543,6.16093062842033,2944.89239084247,90027.1344086586,1744476612.4338667,2944.89239084247,3675.660016975283,288.6639670017213,2.01468322931158,565.8603612718236,1748685122.9127564,0,0,0.3089119044896245,0
23.2380463655871,0.23444479824834,1213.86124364314,231.947290388957,1705.93527058626,80.6682578383846,425.227297262474,3.58073993782576,2.08327667326009,11.9781025376157,11.3283544606231,6.14310531099931,2950.80506697983,89830.7116278612,1740261376.778072,2950.80506697983,3681.1118508830514,287.85297920458163,2.08327667326009,566.7665237048386,1745877207.5345285,0,0,0.3044859369494176,0
23.4540334785074,0.231894260030441,1212.54107718098,231.023053928561,1709.60178235872,80.8694811762289,425.090207157709,3.58031213127372,2.15047605779932,11.7346458545344,11.437611760766,6.12562136596581,2955.33197398165,89729.8258926829,1736529319.9234924,2955.33197398165,3682.8115295407365,286.77000900238386,2.15047605779932,567.3928753064591,1743540235.6317694,0,0,0.3018411731295848,0
23.6399934944671,0.22949446144792,1210.56542175509,229.866459319171,1711.893827331,81.0066688611666,424.55913947086,3.58150942543014,2.21584697800551,11.4667671071186,11.5381862433036,6.10878550755358,2957.42947945008,89656.8030793293,1731830317.895246,2957.42947945008,3681.7610046932027,285.4119920205608,2.21584697800551,567.539704647651,1741198252.0844646,0,0,0.3003047101460743,0
23.7844563154153,0.227146814414309,1209.27587829087,228.484626024873,1712.98194838273,81.0879679676567,423.677127943131,3.58586191850741,2.27978509197121,11.1712280432882,11.6298225163367,6.09256418260715,2957.38030679843,89413.5377843005,1722704989.9971411,2957.38030679843,3679.5191517390904,283.83720238656326,2.27978509197121,567.259763397331,1738116041.7365773,0,0,0.2986114428470683,0
23.8889121070137,0.224745117709401,1209.1705894721,226.96387484501,1713.82197765961,81.158664505949,422.677741833544,3.59410121262122,2.34378086835489,10.8508254770596,11.7181112247216,6.07646199276208,2956.79278230216,88793.941873673,1706027324.850617,2956.79278230216,3677.906505540936,282.15610510367276,2.34378086835489,566.8585833104736,1733531939.3242974,0,0,0.2958037664088607,0
23.9643355813976,0.222263309962719,1210.62990790762,225.446275510975,1715.8762166293,81.2878109634447,421.918895114138,3.60316635141613,2.40882432211802,10.5163950509039,11.8140358954541,6.05976539796371,2958.13200333198,88069.1411959513,1688237704.7364626,2958.13200333198,3679.3457050168386,280.5382549366548,2.40882432211802,566.8062069278175,1727870160.000818,0,0,0.29283014244592903,0
24.0239316799203,0.219698539007753,1213.66587662033,224.016935088804,1719.92206351587,81.5118803958412,421.590322188646,3.61010486787217,2.47507324729911,10.1806448074107,11.9262745762626,6.04199300909603,2962.71080037094,87368.1375189841,1672426374.0966759,2962.71080037094,3684.9507080284193,279.0819728124424,2.47507324729911,567.3547396100352,1721709739.3448021,0,0,0.2901765232137823,0
24.0768074617214,0.217075317789495,1217.75106444886,222.652176298348,1725.59613008345,81.8134024783291,421.601967297781,3.61445157583593,2.54254761081216,9.85073240141601,12.0566125952467,6.02304368624471,2969.91757620847,86717.1217264701,1658742743.4066477,2969.91757620847,3693.7086233862788,277.74847470370884,2.54254761081216,568.3899578717333,1715413039.7509868,0,0,0.2878832856058002,0
24.127460394975,0.214423831519772,1222.1893133371,221.271084034792,1732.00984195203,82.1502091793312,421.735961730255,3.6172240385213,2.61124351020502,9.5265219526175,12.2021406385733,6.00306742748891,2978.25300665586,86119.769569481,1646472646.0746045,2978.25300665586,3703.698294460003,276.42778291720754,2.61124351020502,569.6274599247497,1709145731.234952,0,0,0.28585930836724044,0
24.1789133663455,0.211756436919091,1226.45928714552,219.792804688452,1738.38138962655,82.4853474767513,421.801350565911,3.61972380917963,2.681103079031,9.20209394698351,12.3587900438473,5.98228278403712,2986.39432413242,85568.8459858583,1634784923.0251434,2986.39432413242,3713.310849306449,275.0122595531729,2.681103079031,570.8148004452617,1702948997.217468,0,0,0.28398887407607554,0
24.2336779566784,0.209072230731674,1230.3133538024,218.168636266719,1744.2808001214,82.7985652717594,421.693431270182,3.62288468346675,2.75197887026466,8.87049884398057,12.5233617863539,5.9608743305169,2993.61322348748,85059.8791672581,1623212291.3073103,2993.61322348748,3721.6975369198703,273.4367910733703,2.75197887026466,571.8121703569312,1696815404.4551482,0,0,0.28220420016608,0
24.2928988972911,0.206376637604003,1233.70446231923,216.387608290784,1749.57708753529,83.0836800531485,421.380935590266,3.62685796614939,2.82346139647473,8.52810656837044,12.6938604499805,5.93900029048198,2999.6929068376,84637.886361276,1612516719.2929895,2999.6929068376,3728.6330493236132,271.68465469840044,2.82346139647473,572.5780879631991,1690794069.8007083,0,0,0.2806328037368178,0
24.3556742155877,0.203685453137375,1236.60948428281,214.454235073138,1754.19977498226,83.3372492425677,420.849074598116,3.63132131589094,2.89472467617905,8.17518450352259,12.868303500935,5.91688026734184,3004.52578860695,84366.7158877392,1603891354.645458,3004.52578860695,3734.009177847617,269.75848961843786,2.89472467617905,573.0932828608459,1685000555.4570248,0,0,0.2794634956604719,0
24.4184662985563,0.201001505424134,1238.90144603096,212.361812303738,1757.95269075306,83.5498420402918,420.055035109257,3.63680374933522,2.96493589451572,7.81372734879047,13.0434460424472,5.89480911796148,3007.79261389933,84176.7694803693,1595880708.5122101,3007.79261389933,3737.4402940412874,267.64701561039175,2.96493589451572,573.2989440698906,1679430565.022974,0,0,0.2784190629399896,0
24.4765558848055,0.198322029539033,1240.490615889,210.106136920415,1760.70637863959,83.7152269211519,418.973476013488,3.64402187041345,3.03345920458413,7.44582584313034,13.2161107457781,5.8730554480411,3009.28404998243,84022.3736776741,1587534436.8958738,3009.28404998243,3738.6667122979898,265.3434528798062,3.03345920458413,573.1569834995614,1674024910.4272623,0,0,0.2773130894867373,0
24.5266141694312,0.195646447598396,1241.45261187541,207.706283488832,1762.57223343016,83.8385914446304,417.636648664322,3.65292483241565,3.09963000618702,7.0736024119533,13.3846895834313,5.8518082360495,3009.1978000717,83927.9507880195,1579429092.9726183,3009.1978000717,3737.9286295203838,262.8711816297013,3.09963000618702,572.7064013981034,1668769587.2353375,0,0,0.27622612980663536,0
24.5674197171597,0.192986001067821,1241.90848373434,205.196119845807,1763.72675389825,83.9281244492212,416.091558992353,3.66290172515853,3.16256802353764,6.70075101672603,13.5482746564898,5.83124860535824,3007.84758363597,83947.3866999399,1572761096.941963,3007.84758363597,3735.611446638199,260.2710293223368,3.16256802353764,572.0089570498783,1663716508.798844,0,0,0.2753429960883689,0
24.59839584343,0.190360649415726,1241.86184552458,202.607710250144,1764.17953806957,83.9839882078423,414.344985899813,3.6739673016457,3.22147567649871,6.33457713026309,13.7050200340528,5.81159904372792,3005.27455506694,84029.851139674,1566658021.5640554,3005.27455506694,3731.766824444795,257.5793845274412,3.22147567649871,571.0764755256517,1658863584.4371047,0,0,0.2744783503841758,0
24.618745432828,0.187794735881071,1241.26948757392,199.969934320113,1763.87361923104,84.0031749182338,412.388257744851,3.68635055456,3.2758106747479,5.98387886930657,13.8528619099896,5.79306079924753,3001.40921051218,84139.5228895245,1560497775.1812303,3001.40921051218,3726.311013956867,254.8286854595603,3.2758106747479,569.9003941996472,1654179498.282063,0,0,0.2734911106269741,0
24.6280720291667,0.185298388512316,1240.20160554118,197.315157838045,1762.91142939534,83.9903522756404,410.250328716525,3.70019243071408,3.32533854502305,5.65466020409307,13.9909658355365,5.77572554280539,2996.44302953145,84222.8527232722,1553439973.0073283,2996.44302953145,3719.4822441844094,252.05793242533582,3.32533854502305,568.5200994457656,1649600428.9513934,0,0,0.2722150793049097,0
24.6277963267889,0.182862289742852,1238.88437456973,194.676985943563,1761.61363666241,83.9606727326671,408.01085631272,3.71552891644713,3.37018448874218,5.34850734062893,14.1206107103955,5.75951787175673,2990.92263912448,84214.6419450989,1544574476.0617251,2990.92263912448,3711.957184837622,249.31140390217416,3.37018448874218,567.0395501711198,1645034083.1735816,0,0,0.27048447707108736,0
24.6225811385961,0.180466440763762,1237.68717263409,192.090177413531,1760.4997938409,83.9387558310922,405.795656971715,3.73146936622299,3.41037704294166,5.06416200476821,14.2453401678696,5.74425042054175,2985.7191799704,84173.9596825937,1535399035.250906,2985.7191799704,3704.814604270688,246.6394808420028,3.41037704294166,565.6215284916263,1640465956.1768036,0,0,0.2685626552998042,0
